train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
2.735848569817802569e-08,2.233346994243451122e-01,0.000000000000000000e+00,3.182517945394614992e-05,2.638696545653037558e-08,2.168024874563458659e-01,0.000000000000000000e+00,3.072301540991638876e-05
2.732533533441622335e-08,2.230595016975138456e-01,0.000000000000000000e+00,3.178652511076949334e-05,2.640564479308891353e-08,2.168379020464571150e-01,0.000000000000000000e+00,3.074240318906222666e-05
2.729328352805203813e-08,2.227197426722756224e-01,0.000000000000000000e+00,3.174767826886987454e-05,2.633122423336012264e-08,2.165476313874691305e-01,0.000000000000000000e+00,3.066217705284693076e-05
2.726294224727303992e-08,2.223972015416444126e-01,0.000000000000000000e+00,3.171088631486526367e-05,2.630792542462689972e-08,2.163318791721440537e-01,0.000000000000000000e+00,3.063456308983761393e-05
2.723426170106214946e-08,2.220974934698421999e-01,0.000000000000000000e+00,3.167621143569828140e-05,2.630702404720131759e-08,2.158538889658601911e-01,0.000000000000000000e+00,3.062410122984607634e-05
2.720300670247290205e-08,2.219299395391935992e-01,0.000000000000000000e+00,3.164160538336702969e-05,2.625240123178846617e-08,2.155925384427927749e-01,0.000000000000000000e+00,3.056425187343295239e-05
2.717754769869781587e-08,2.215462812482675292e-01,0.000000000000000000e+00,3.160847317010883413e-05,2.624020427104749337e-08,2.154975918274891489e-01,0.000000000000000000e+00,3.055015604101604985e-05
2.714745020301043392e-08,2.213479784378873383e-01,0.000000000000000000e+00,3.157440969245265148e-05,2.616986116980207189e-08,2.153416856934752543e-01,0.000000000000000000e+00,3.047669481849327259e-05
2.712193895010400224e-08,2.210785142267182313e-01,0.000000000000000000e+00,3.154350923956868500e-05,2.612251215339256305e-08,2.152493388592442436e-01,0.000000000000000000e+00,3.042749893763898504e-05
2.709459694747849060e-08,2.208562193394723872e-01,0.000000000000000000e+00,3.151172132153478011e-05,2.619941455345235162e-08,2.149985355289676658e-01,0.000000000000000000e+00,3.049938486928792240e-05
2.707249613683943501e-08,2.205961207464051388e-01,0.000000000000000000e+00,3.148441846899589742e-05,2.611442772856115735e-08,2.141601988409138901e-01,0.000000000000000000e+00,3.039763177633786640e-05
2.704996648941908438e-08,2.203372931048305783e-01,0.000000000000000000e+00,3.145671203739441011e-05,2.613451445690367950e-08,2.148896699087529116e-01,0.000000000000000000e+00,3.043230795419385942e-05
2.702361546665748358e-08,2.202169197772357589e-01,0.000000000000000000e+00,3.142795370244952168e-05,2.603943938672411534e-08,2.137791005116474741e-01,0.000000000000000000e+00,3.031502149761890137e-05
2.700351461035465907e-08,2.199338452775341235e-01,0.000000000000000000e+00,3.140219136328398550e-05,2.608541651600089614e-08,2.135719175957426219e-01,0.000000000000000000e+00,3.035685475407274301e-05
