train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
2.837678480916701488e-08,3.274844659925269519e-01,0.000000000000000000e+00,3.492647414850289439e-05,2.742977612135429737e-08,3.189120737812187190e-01,0.000000000000000000e+00,3.380801731682252855e-05
2.834854117098779204e-08,3.273303504945880849e-01,0.000000000000000000e+00,3.489514801719251436e-05,2.739617316127736759e-08,3.201114109045342659e-01,0.000000000000000000e+00,3.379840084942517650e-05
2.832006053499084758e-08,3.272543517130016011e-01,0.000000000000000000e+00,3.486514730472812710e-05,2.741526953695362801e-08,3.181323699558837315e-01,0.000000000000000000e+00,3.377791654202155769e-05
2.829226024366339341e-08,3.271889967450709036e-01,0.000000000000000000e+00,3.483603990610454715e-05,2.734117978433649884e-08,3.193936227243157622e-01,0.000000000000000000e+00,3.372905220076754119e-05
2.826831696465267376e-08,3.270787963989192915e-01,0.000000000000000000e+00,3.480989278280742451e-05,2.733845453814744298e-08,3.197096337245989295e-01,0.000000000000000000e+00,3.373264705340814270e-05
2.824108514538924009e-08,3.269855813431079006e-01,0.000000000000000000e+00,3.478079661615252137e-05,2.727127220531414630e-08,3.193107771722576427e-01,0.000000000000000000e+00,3.365748747041201092e-05
2.821671270386868060e-08,3.269392013041449441e-01,0.000000000000000000e+00,3.475549670753192523e-05,2.725666965267309228e-08,3.184493387801737851e-01,0.000000000000000000e+00,3.362565644526017386e-05
2.819228500590903430e-08,3.268430686073262592e-01,0.000000000000000000e+00,3.472914612891255827e-05,2.735131979131403503e-08,3.179334194599827690e-01,0.000000000000000000e+00,3.370998787938299076e-05
2.817391731332536331e-08,3.267132193167834875e-01,0.000000000000000000e+00,3.470818141114407566e-05,2.722816072187331955e-08,3.182027924664412866e-01,0.000000000000000000e+00,3.359221637431720570e-05
2.815301561930372772e-08,3.266168382249152735e-01,0.000000000000000000e+00,3.468535205470705982e-05,2.724675994248984637e-08,3.199765478508381777e-01,0.000000000000000000e+00,3.364629106105399806e-05
2.812731861022494828e-08,3.266534419583358995e-01,0.000000000000000000e+00,3.466038729779289334e-05,2.717369861054061254e-08,3.175193754178059491e-01,0.000000000000000000e+00,3.352408610318221443e-05
2.810879024635452959e-08,3.265149327102246368e-01,0.000000000000000000e+00,3.463908872371768166e-05,2.720304706107400096e-08,3.188201185268692006e-01,0.000000000000000000e+00,3.357944964752473786e-05
2.808831039352552778e-08,3.264870048204718822e-01,0.000000000000000000e+00,3.461805033881757299e-05,2.713733469725360078e-08,3.197793553147134649e-01,0.000000000000000000e+00,3.353292123404260592e-05
2.806779152902180217e-08,3.264652551618466014e-01,0.000000000000000000e+00,3.459709630227897776e-05,2.713557635132342153e-08,3.185982598534113364e-01,0.000000000000000000e+00,3.350754142749930669e-05
2.805018590488485662e-08,3.263320014802123525e-01,0.000000000000000000e+00,3.457682579076279937e-05,2.714343315513855700e-08,3.189982138102567810e-01,0.000000000000000000e+00,3.352339746602929108e-05
